Rest_Name, Street Address, City, State
Panera Bread,2805 Bee Caves Rd, Austin, Texas
Talad Thai and Lao Street Food,1606 E 6th St, Austin, Texas
The Git Out,4930 South Congress Ave, Austin, Texas
Salt Traders Coastal Cooking Zilker,1101 S MoPac Expy, Austin, Texas
The Kebab Shop,9761 Great Hills Trl, Austin, Texas
LeverCraft,3307 Oak Springs Dr, Austin, Texas
Cartel Coffee Lab,1813 E 6th St, Austin, Texas
Intelligentsia,607 W 3rd St, Austin, Texas
Merit Coffee,4615 N Lamar Blvd, Austin, Texas
Vertex Nails Salon,5222 Burnet Rd, Austin, Texas
Nixta Taqueria,2512 E 12th St, Austin, Texas
Tropical Dreams,2001 Guadalupe St, Austin, Texas
R&B’s Steak and Fries,Serving Austin and the Surrounding Area, Austin, Texas
Lantana Nails,7415 SW Pkwy, Austin, Texas
Swedish Hill,1120 West 6th St, Austin, Texas
WarriorOne Yoga,10710 Research Blvd, Austin, Texas
Dipdipdip ice cream,7301 Burnet Rd, Austin, Texas
Fish & Rice Poke Bar,6719 N Lamar, Austin, Texas
El Naranjo South Lamar,2717 S Lamar Blvd, Austin, Texas
Snooze, An A.M. Eatery,1109 E 5th St, Austin, Texas
Kuway’s Banh Mi,1309 W 45th St, Austin, Texas
The Pho,609 Clayton Ln, Austin, Texas
Tso Chinese Delivery,9333 Research Blvd, Austin, Texas
Patika Luncheonette,100 Congress, Austin, Texas
1618 Asian Fusion,1618 East Riverside Dr, Austin, Texas
Chivata Goat Cheese Lovers,Serving Austin and the Surrounding Area, Austin, Texas
Sushi Junai Omakase,315 Congress Ave, Austin, Texas
Anything’s Baked Potato,Serving Austin and the Surrounding Area, Austin, Texas
Brooklyn Breakfast Shop,514 East St Elmo Rd, Austin, Texas
The Meteor,2110 S Congress Ave, Austin, Texas
Cluck-n-Burger,5111 Airport Blvd, Austin, Texas
